text,severity,prompt
I have mild backache from sitting too long.,0,Physiatry
I have mild skin rash after using a new lotion.,0,Dermatology
I have mild anxiety before public speaking.,0,Psychology
I have mild stomach indigestion.,0,Gastroenterology
I have mild ankle soreness from jogging.,0,Orthopedy
I have mild joint pain after exercise.,0,Rheumatology
I have a mild headache that comes and goes.,0,General
I have mild eye fatigue from screen time.,0,Ophthalmology
I have a mild scrape on my knee.,0,Wound Care
I have mild nasal congestion.,0,Otorhinolaryngology
I have mild muscle tightness in my back.,0,Physiatry
I have mild dry skin on my hands.,0,Dermatology
I have mild stress and difficulty concentrating.,0,Psychology
I have mild stomach bloating after a heavy meal.,0,Gastroenterology
I have mild wrist discomfort from typing.,0,Orthopedy
I have mild joint aches in cold weather.,0,Rheumatology
I have a mild sore throat and occasional cough.,0,General
I have mild eye dryness and occasional redness.,0,Ophthalmology
I have a mild paper cut on my finger.,0,Wound Care
I have mild postnasal drip.,0,Otorhinolaryngology
I have mild muscle soreness from exercise.,0,Physiatry
I have mild acne breakouts on my face.,0,Dermatology
I have mild stress and difficulty relaxing.,0,Psychology
I have mild occasional stomach discomfort.,0,Gastroenterology
I have mild foot arch pain after standing.,0,Orthopedy
I have mild joint stiffness after waking up.,0,Rheumatology
I have a mild tension headache.,0,General
I have mild eye itching and occasional redness.,0,Ophthalmology
I have a mild scrape on my arm.,0,Wound Care
I have mild snoring at night.,0,Otorhinolaryngology
I have mild muscle fatigue from physical activity.,0,Physiatry
I have mild dry patches on my skin.,0,Dermatology
I have mild stress and occasional mood swings.,0,Psychology
I have mild occasional heartburn.,0,Gastroenterology
I have mild hand stiffness in the morning.,0,Rheumatology
I have a mild seasonal allergy with sneezing.,0,General
I have mild eye redness and occasional itching.,0,Ophthalmology
I have a mild paper cut on my hand.,0,Wound Care
I have mild occasional hoarseness.,0,Otorhinolaryngology
I have mild muscle tension in my neck.,0,Physiatry
I have mild dry lips.,0,Dermatology
I have mild stress and difficulty coping with work.,0,Psychology
I have mild occasional bloating.,0,Gastroenterology
I have mild finger joint pain after typing.,0,Rheumatology
